,ticker,name,subcategory
411,EURAUDCR Curncy,EUR-AUD Carry Return,DM FX
412,BCOMRST Index,BBG RollSelctT,Commodity
413,NDSWAP10 Index,NZD SWAP SA(V 3M) 10Y,Currency SWAP
414,I05520Y Index,GBP Swap Rate 0 Cpn Yld 20,Nominal Swap
415,I05709Y Index,CHF Switzerland Swap 0 9,Nominal Swap
416,I05720Y Index,CHF Switzerland Swap 0 20,Nominal Swap
417,IDRUSD Curncy,IDR-USD X-RATE (x1000),EM FX
418,BCOMRCL Index,BBGRollCrudeO,Energy
419,UB1 A:00_0_R Comdty,30y BUXL Future,Nominal Bond
420,AUDCHFCR Curncy,AUD-CHF Carry Return,DM FX
421,GBPUSD Curncy,GBP-USD X-RATE,DM FX
422,F25601Y Index,CHF 0CPN YLDS1Y,Nominal Bond
423,INRUSDCR Curncy,INR-USD Carry Return,EM FX
424,F10103M Index,CAD Canada Sov <9% 0 Cpn 3,Nominal Bond
425,IINENGA Index,IMF Nigeria Inflation End of P,IMF Inflation Expectation
426,JY0006M Index,ICE LIBOR JPY 6M,Nominal Bond
427,I08703Y Index,SEK Swap Rates 0 Cpn Yld 3,Nominal Swap
428,JPMTSP INDEX,JPM GBI Spain in LOC,Nominal Bond
429,F25001Y Index,NZD 0CPN YLDS1Y,Nominal Bond
430,BCOMRHG Index,BBGRollCopper,Industrial Metals
431,EUSA10 Index,EUR SWAP ANN (VS 6M) 10Y,Currency SWAP
432,LECPER Index,Bloomberg Barclays EuroAgg Cor,Credit
433,NOKSEK Curncy,NOK-SEK X-RATE,DM FX
434,F08203Y Index,UST Bond/Notes 0 Coupon 3,Nominal Bond
435,SEKUSDCR Curncy,SEK-USD Carry Return,DM FX
436,I05306Y Index,EUR Swap Annual 0 Cpn Yld6,Nominal Swap
437,SX5T Index,EURO STOXX 50 Total Return,DM Equity
438,I09430Y Index,NZD Swap Rate 0 Cpn Yld 30,Nominal Swap
439,JPMTCAN INDEX,JPM GBI Canada in LOC,Nominal Bond
440,HUFEUR Curncy,HUF-EUR X-RATE (x100),EM FX
441,BCIU1T Index,GB IL Bond Total Return Index,IL Bond
442,CHFJPY Curncy,CHF-JPY X-RATE,DM FX
443,NZDSEK Curncy,NZD-SEK X-RATE,DM FX
444,DJE1 A:00_0_R Index,Dow Jones US Real Estate Index Future,Equity Sector
445,BCOMRZS Index,BBGRollZinc,Industrial Metals
446,F25005Y Index,NZD 0CPN YLDS5Y,Nominal Bond
447,I05630Y Index,JPY Japan Swap Rate 0 Cpn30,Nominal Swap
448,BCOMNG Index,BBG Natural Gas,Natgas
449,I05207Y Index,USD Swap Rate 0 Cpn Yld 7,Nominal Swap
450,F25009Y Index,NZD 0CPN YLDS9Y,Nominal Bond
451,I05604Y Index,JPY Japan Swap Rate 0 Cpn4,Nominal Swap
452,IINECHL Index,IMF Chile Inflation End of Per,IMF Inflation Expectation
453,CDSW10 Index,CAD SWAP SA (VS 3M ) 10Y,Currency SWAP
454,I08715Y Index,SEK Swap Rates 0 Cpn Yld 15,Nominal Swap
455,F25603Y Index,CHF 0CPN YLDS3Y,Nominal Bond
456,NIBOR6M Index,Norway IBOR 6M,Nominal Bond
457,I05602Y Index,JPY Japan Swap Rate 0 Cpn2,Nominal Swap
458,GDDLSZ index,MSCI TR Switzerland,DM Equity
459,F10103Y Index,CAD Canada Sov <9% 0 Cpn 3,Nominal Bond
460,KRWUSDCR Curncy,KRW-USD Carry Return,EM FX
461,IINEEURO Index,IMF Euro Area Inflation End of,IMF Inflation Expectation
462,BCOMSM2 Index,BBG SoyMealF2,Agriculture
463,BCOMF6 Index,BBGCI-F6,Commodity
464,ZARUSDCR Curncy,ZAR-USD Carry Return,EM FX
465,I05730Y Index,CHF Switzerland Swap 0 30,Nominal Swap
466,USDNOKCR Curncy,USD-NOK Carry Return,DM FX
467,I08604Y Index,NOK Swap Rate 0 Cpn Yld 4,Nominal Swap
468,ST1 A:00_0_R Comdty,10y Swedish Bond Future,Nominal Bond
469,BCOMKW1 Index,BBG KSWheat Sub 1MFwd,Agriculture
470,I05107Y Index,AUD Swap Rate 0 Cpn Yld 7,Nominal Swap
471,I05506Y Index,GBP Swap Rate 0 Cpn Yld 6,Nominal Swap
472,BCOMSY2 Index,BBG Soybean-F2,Agriculture
473,F12707Y Index,AUD Australia Sov 0 Cpn 7,Nominal Bond
474,F25606Y Index,CHF 0CPN YLDS6Y,Nominal Bond
475,F08220Y Index,UST Bond/Notes 0 Coupon 20,Nominal Bond
476,CHFSEK Curncy,CHF-SEK X-RATE,DM FX
477,I05606Y Index,JPY Japan Swap Rate 0 Cpn6,Nominal Swap
478,I09406Y Index,NZD Swap Rate 0 Cpn Yld 6,Nominal Swap
479,CCNI3M Curncy,CNY NDF IMPLIED YLD 3 MO,EM FX
480,BCOMNG6 Index,BBGNaturalGasSub6Mfwd,Natgas
481,GDDLJN index,MSCI TR Japan,DM Equity
482,I09407Y Index,NZD Swap Rate 0 Cpn Yld 7,Nominal Swap
483,SE1 A:00_0_R Curncy,SEK Future,DM FX
484,GDUEEGF index,MSCI TR EM,DM Equity
485,F25910Y Index,SEK 0CPN YLDS10Y,Nominal Bond
486,F91003Y Index,EUR 0CPN YLDS3Y,Nominal Bond
487,ARSUSD Curncy,ARS-USD X-RATE,EM FX
488,I05209Y Index,USD Swap Rate 0 Cpn Yld 9,Nominal Swap
489,I05530Y Index,GBP Swap Rate 0 Cpn Yld 30,Nominal Swap
490,I05705Y Index,CHF Switzerland Swap 0 5,Nominal Swap
491,I05508Y Index,GBP Swap Rate 0 Cpn Yld 8,Nominal Swap
492,F25604Y Index,CHF 0CPN YLDS4Y,Nominal Bond
493,RP1 A:00_0_R Curncy,EURGBP Future,DM FX
494,CHFJPYCR Curncy,CHF-JPY Carry Return,DM FX
495,F25608Y Index,CHF 0CPN YLDS8Y,Nominal Bond
496,ADSOC Index,AUD SWAP OIS 3M,Currency SWAP
497,SEKJPYCR Curncy,SEK-JPY Carry Return,DM FX
498,F10110Y Index,CAD Canada Sov <9% 0 Cpn 10,Nominal Bond
499,US1 A:00_0_R Comdty,US Long Bond Future,Nominal Bond
500,BCOMRWH Index,BBGRollWheat,Agriculture
501,IHNI3M Curncy,IDR NDF IMPLIED YLD 3 MO,EM FX
502,CADUSD Curncy,USD-CAD X-RATE,DM FX
503,I05702Y Index,CHF Switzerland Swap 0 2,Nominal Swap
504,EURJPYCR Curncy,EUR-JPY Carry Return,DM FX
505,I05330Y Index,EUR Swap Annual 0 Cpn Yld30,Nominal Swap
506,F10515Y Index,JPY Japan Sovereign 15,Nominal Bond
507,BCOMNG1 Index,BBG NatGas Sub 1MFwd,Natgas
508,EMUSTRUU Index,EM USD Aggregate Total Return Index,EM Debt Hard
509,AUDJPY Curncy,AUD-JPY X-RATE,DM FX
510,USDNOK Curncy,USD-NOK X-RATE,DM FX
511,F25030Y Index,NZD 0CPN YLDS30Y,Nominal Bond
512,F25603M Index,CHF 0CPN YLDS3M,Nominal Bond
513,I05115Y Index,AUD Swap Rate 0 Cpn Yld 15,Nominal Swap
514,I05503M Index,GBP Swap Rate 0 Cpn Yld 3,Nominal Swap
515,CHFNOKCR Curncy,CHF-NOK Carry Return,DM FX
516,JPYUSDCR Curncy ,JPY-USD Carry Return,DM FX
517,BCOMLH2 Index,BBG LenHogs-F2,Agriculture
518,GCLDEMU index,MSCI TR Global Small Cap ,Small Cap Equity
519,GBPCAD Curncy,GBP-CAD X-RATE,DM FX
520,F25907Y Index,SEK 0CPN YLDS7Y,Nominal Bond
521,BCOMZS6 Index,BBGZincSub6Mfwd,Industrial Metals
522,M1WDOV Index,MSCI ACWI ENH VAL NR USD,Equity Factor
523,NZDJPYCR Curncy,NZD-JPY Carry Return,DM FX
524,BCOMKC Index,BBG Coffee,Agriculture
525,IINEBRA Index,IMF Brazil Inflation End of Pe,IMF Inflation Expectation
526,I07203M Index,CAD Canada Swap 0 Cpn Yld3,Nominal Swap
527,IINECOL Index,IMF Colombia Inflation End of,IMF Inflation Expectation
528,I08704Y Index,SEK Swap Rates 0 Cpn Yld 4,Nominal Swap
529,XID1 A:00_0_R Curncy,INR Future,DM FX
530,BCOMAL6 Index,BBGAluminumSub6Mfwd,Industrial Metals
531,I05703Y Index,CHF Switzerland Swap 0 3,Nominal Swap
532,USDJPY Curncy,USD-JPY X-RATE,DM FX
533,F10508Y Index,JPY Japan Sovereign 8,Nominal Bond
534,XP1 A:00_0_R Index,ASX SPI 200 Index Future ,DM Equity
535,I08609Y Index,NOK Swap Rate 0 Cpn Yld 9,Nominal Swap
536,HUFEURCR Curncy,HUF-EUR Carry Return,EM FX
537,THBUSDCR Curncy,THB-USD Carry Return,EM FX
538,JPPUELM Index,J.P. Morgan ELMI Plus Composite,EM Debt Local
539,I05103Y Index,AUD Swap Rate 0 Cpn Yld 3,Nominal Swap
540,I05102Y Index,AUD Swap Rate 0 Cpn Yld 2,Nominal Swap
541,NQ1 A:00_0_R Index,NASDAQ 100 Index Future,Equity Sector
542,I05704Y Index,CHF Switzerland Swap 0 4,Nominal Swap
543,I09405Y Index,NZD Swap Rate 0 Cpn Yld 5,Nominal Swap
544,RU1 A:00_0_R Curncy,RUB Future,EM FX
545,NZDNOKCR Curncy,NZD-NOK Carry Return,DM FX
546,F26605Y Index,NOK 0CPN YLDS5Y,Nominal Bond
547,I05110Y Index,AUD Swap Rate 0 Cpn Yld 10,Nominal Swap
548,F25901Y Index,SEK 0CPN YLDS1Y,Nominal Bond
549,GBPNOKCR Curncy,GBP-NOK Carry Return,DM FX
550,BCOMLH1 Index,BBG LeanHogs Sub 1MFwd,Agriculture
551,BR1 A:00_0_R Curncy,BRL Future,EM FX
552,F11007Y Index,GBP UK Gilts 0 Coupon 7,Nominal Bond
553,NZDJPY Curncy,NZD-JPY X-RATE,DM FX
554,BCOMHG1 Index,BBG Copper Sub 1MFwd,Industrial Metals
555,F08208Y Index,UST Bond/Notes 0 Coupon 8,Nominal Bond
556,NOKSEKCR Curncy,NOK-SEK Carry Return,DM FX
557,SFSW9 Index,CHF SWAP ANN (VS 6M) 9Y,Currency SWAP
558,F25920Y Index,SEK 0CPN YLDS20Y,Nominal Bond
559,F26604Y Index,NOK 0CPN YLDS4Y,Nominal Bond
560,I05706Y Index,CHF Switzerland Swap 0 6,Nominal Swap
561,KRWUSD Curncy,KRW-USD X-RATE (x100),EM FX
562,JPMTUS INDEX,JPM GBI US in LOC,Nominal Bond
563,ADSWAP9 Index,AUD SWAP SA (VS 6M) 9Y,Currency SWAP
564,EURAUD Curncy,EUR-AUD X-RATE,DM FX
565,I08703M Index,SEK Swap Rates 0 Cpn Yld 3,Nominal Swap
566,LP01ER Index,Bloomberg Barclays Pan-Europea,Credit
567,BCOMCT1 Index,BBG Cotton Sub 1MFwd,Agriculture
568,I07204Y Index,CAD Canada Swap 0 Cpn Yld4,Nominal Swap
569,F11015Y Index,GBP UK Gilts 0 Coupon 15,Nominal Bond
570,F10107Y Index,CAD Canada Sov <9% 0 Cpn 7,Nominal Bond
571,IINEPER Index,IMF Peru Inflation End of Peri,IMF Inflation Expectation
572,JYSWAP1 Curncy,JPY SWAP SA (V 6M) 1Y,Currency SWAP
573,EMUSER Index,EM USD Aggregate Exc Rt,EM Debt Hard
574,CHFI3M Index,CHF Fwd Imp Yld 3M,DM FX
575,I09408Y Index,NZD Swap Rate 0 Cpn Yld 8,Nominal Swap
576,BCOMNI Index,BBG Nickel,Industrial Metals
577,EURGBPCR Curncy,EUR-GBP Carry Return,DM FX
578,CLPUSDCR Curncy,CLP-USD Carry Return,EM FX
579,I05315Y Index,EUR Swap Annual 0 Cpn Yld15,Nominal Swap
580,BCOMCL1 Index,BBG WTICrudOilSub1MFwd,Energy
581,IINEPHL Index,IMF Philippines Inflation End,IMF Inflation Expectation
582,F25004Y Index,NZD 0CPN YLDS4Y,Nominal Bond
583,CZKEUR Curncy,CZK-EUR X-RATE,EM FX
584,CHFUSDCR Curncy,CHF-USD Carry Return,DM FX
585,BCOMWH2 Index,BBG Wheat-F2,Agriculture
586,HI1 A:00_0_R Index,Hang Seng Index Future ,DM Equity
587,F11003Y Index,GBP UK Gilts 0 Coupon 3,Nominal Bond
588,BCOMSI6 Index,BBGSilverSub6Mfwd,Precious Metals
589,NV1 A:00_0_R Curncy,NZD Future,DM FX
590,I05608Y Index,JPY Japan Swap Rate 0 Cpn8,Nominal Swap
591,EPNI3M Curncy,EGP NDF IMP. YIELD 3 MO,EM FX
592,I05504Y Index,GBP Swap Rate 0 Cpn Yld 4,Nominal Swap
593,GBPAUDCR Curncy,GBP-AUD Carry Return,DM FX
594,RUGA Index,EPRA/NAREIT ASIA $ TR,REITS
595,CD1 A:00_0_R Curncy,CAD Future,DM FX
596,CADCHF Curncy,CAD-CHF X-RATE,DM FX
597,F26615Y Index,NOK 0CPN YLDS15Y,Nominal Bond
598,M00IWD$O Index,MSCI ACWI Minimum Volati,Equity Factor
599,CDOR03 Index,CAD-BA-CDOR 3M,Nominal Bond
600,BCOMSM6 Index,BBG SoyMealF6,Agriculture
601,F08209Y Index,UST Bond/Notes 0 Coupon 9,Nominal Bond
602,M1EAQU Index,MSCI EAFE Quality,Equity Factor
603,NZDCADCR Curncy,NZD-CAD Carry Return,DM FX
604,BCOMHO2 Index,BBG HeatOil-F2,Energy
605,GDDLEMU index,MSCI TR EU,DM Equity
606,RUGN Index,EPRA/NAREIT N.A TR$,REITS
607,USDCHFCR Curncy,USD-CHF Carry Return,DM FX
608,RA1 A:00_0_R Curncy,ZAR Future,EM FX
609,BCOMZS2 Index,BBGZinc-F2,Industrial Metals
610,I05109Y Index,AUD Swap Rate 0 Cpn Yld 9,Nominal Swap
611,F25006Y Index,NZD 0CPN YLDS6Y,Nominal Bond
612,NQ1 A:00_0_R Index ,NASDAQ-100 Future,Equity Sector
613,PPP JN Index,OECD PPP - Japan,OECD PPP
614,BCOMAL1 Index,BBG Aluminum Sub 1MFwd,Industrial Metals
615,I08615Y Index,NOK Swap Rate 0 Cpn Yld 15,Nominal Swap
616,BCOMSY6 Index,BBGSoybeansSub6Mfwd,Agriculture
617,F10101Y Index,CAD Canada Sov <9% 0 Cpn 1,Nominal Bond
618,I05310Y Index,EUR Swap Annual 0 Cpn Yld10,Nominal Swap
619,SFSW10 Index,CHF SWAP ANN (VS 6M) 10Y,Currency SWAP
620,F10106Y Index,CAD Canada Sov <9% 0 Cpn 6,Nominal Bond
621,MXNI3M Curncy,MXN Fwd Imp Yld 3M,EM FX
622,TP1 A:00_0_R Index,TOPIX Future,DM Equity
623,I09420Y Index,NZD Swap Rate 0 Cpn Yld 20,Nominal Swap
624,M1WO Index,MSCI WORLD NR,DM Equity
625,RPEU Index,FTSE E/N EuroZone TRI,REITS
626,EURNOK Curncy,EUR-NOK X-RATE,DM FX
627,BCOMSY1 Index,BBG Soybeans Sub 1MFwd,Agriculture
628,JB1 A:00_0_R Comdty,10y Japanese Bond Future,Nominal Bond
629,F25015Y Index,NZD 0CPN YLDS15Y,Nominal Bond
630,I08605Y Index,NOK Swap Rate 0 Cpn Yld 5,Nominal Swap
631,HSI Index,Hang Seng Index,DM Equity
632,ED1 A:00_0_R Comdty,3M Eurodollar Future,Nominal Bond
633,I05703M Index,CHF Switzerland Swap 0 3,Nominal Swap
634,I05105Y Index,AUD Swap Rate 0 Cpn Yld 5,Nominal Swap
635,F10503M Index,JPY Japan Sovereign 3,Nominal Bond
636,I05215Y Index,USD Swap Rate 0 Cpn Yld 15,Nominal Swap
637,HUFI3M Curncy,HUF Fwd Imp Yld 3M,EM FX
638,GX1 A:00_0_R Index,DAX Index Future,DM Equity
639,AUDCADCR Curncy,AUD-CAD Carry Return,DM FX
640,GBPCADCR Curncy,GBP-CAD Carry Return,DM FX
641,F10108Y Index,CAD Canada Sov <9% 0 Cpn 8,Nominal Bond
642,AUDNOK Curncy,AUD-NOK X-RATE,DM FX
643,F08202Y Index,UST Bond/Notes 0 Coupon 2,Nominal Bond
644,I05620Y Index,JPY Japan Swap Rate 0 Cpn20,Nominal Swap
645,MYRUSDCR Curncy,MYR-USD Carry Return,EM FX
646,F10505Y Index,JPY Japan Sovereign 5,Nominal Bond
647,IINEEGY Index,IMF Egypt Inflation End of Per,IMF Inflation Expectation
648,I07207Y Index,CAD Canada Swap 0 Cpn Yld7,Nominal Swap
649,F25902Y Index,SEK 0CPN YLDS2Y,Nominal Bond
650,F10510Y Index,JPY Japan Sovereign 10,Nominal Bond
651,USSWAP9 Index,USD SWAP SEMI 30/360 9YR,Currency SWAP
652,MES1 A:00_0_R Index,MSCI EM Future,EM Equity
653,F25904Y Index,SEK 0CPN YLDS4Y,Nominal Bond
654,I09402Y Index,NZD Swap Rate 0 Cpn Yld 2,Nominal Swap
655,AD1 A:00_0_R Curncy,AUD Future,DM FX
656,F25609Y Index,CHF 0CPN YLDS9Y,Nominal Bond
657,USSWAP10 Index,USD SWAP SEMI 30/360 10Y,Currency SWAP
658,TWDUSDCR Curncy,TWD-USD Carry Return,EM FX
659,GDDLCA index,MSCI TR Canada,DM Equity
660,ADSWAP1 Curncy,AUD SWAP SA (VS 6M) 1Y,Currency SWAP
661,I05204Y Index,USD Swap Rate 0 Cpn Yld 4,Nominal Swap
662,M1WOQU Index,MSCI World Quality Net $,Equity Factor
663,F10530Y Index,JPY Japan Sovereign 30,Nominal Bond
664,C 1 A:00_0_R Comdty,Corn Future,Agriculture
665,RONEUR Curncy,RON-EUR X-RATE,EM FX
666,F12715Y Index,AUD Australia Sov 0 Cpn 15,Nominal Bond
667,BP0006M Index,ICE LIBOR GBP 6M,Nominal Bond
668,BCOMCL Index,BBG WTI Crude Oil,Energy
669,NKSW9 Index,NOK SWAP ANN (VS 6M) 9Y,Currency SWAP
670,BCOMGO1 Index,BCOM GO 1MF,Energy
671,JPMTWG INDEX,JPM GBI Germany in LOC,Nominal Bond
672,I05710Y Index,CHF Switzerland Swap 0 10,Nominal Swap
673,F12720Y Index,AUD Australia Sov 0 Cpn 20,Nominal Bond
674,SFSW1 Curncy,CHF SWAP ANN (VS 6M)1Y,Currency SWAP
675,BCOMCN2 Index,BBG Corn-F2,Agriculture
676,AUDNOKCR Curncy,AUD-NOK Carry Return,DM FX
677,BRLUSDCR Curncy,BRL-USD Carry Return,EM FX
678,BCOMRS Index,BBG Roll Select Cmdty,Commodity
679,COPUSDCR Curncy,COP-USD Carry Return,EM FX
680,CADUSDCR Curncy,CAD-USD Carry Return,DM FX
681,GBPNOK Curncy,GBP-NOK X-RATE,DM FX
682,BP1 A:00_0_R Curncy,GBP Future,DM FX
683,CLNI3M Curncy,COP NDF IMP. YIELD 3 MO,EM FX
684,F10120Y Index,CAD Canada Sov <9% 0 Cpn 20,Nominal Bond
685,F25607Y Index,CHF 0CPN YLDS7Y,Nominal Bond
686,NZDUSD Curncy,NZD-USD X-RATE,DM FX
687,ILSUSD Curncy,ILS-USD X-RATE,EM FX
688,RUBUSDCR Curncy,RUB-USD Carry Return,EM FX
689,F12710Y Index,AUD Australia Sov 0 Cpn 10,Nominal Bond
690,AUDCAD Curncy,AUD-CAD X-RATE,DM FX
691,I07209Y Index,CAD Canada Swap 0 Cpn Yld9,Nominal Swap
692,ARSUSDCR Curncy,ARS-USD Carry Return,EM FX
693,I05303M Index,EUR Swap Annual 0 Cpn Yld3,Nominal Swap
694,IINETHA Index,IMF Thailand Inflation End of,IMF Inflation Expectation
695,PENUSD Curncy,PEN-USD X-RATE,EM FX
696,F25602Y Index,CHF 0CPN YLDS2Y,Nominal Bond
697,XM1 A:01_0_R comdty,10y Australian Bond Future,Nominal Bond
698,SPX Index,S&P 500 INDEX,DM Equity
699,IINEKOR Index,IMF Korea Inflation End of Per,IMF Inflation Expectation
700,F10115Y Index,CAD Canada Sov <9% 0 Cpn 15,Nominal Bond
701,BCOMSM Index,BBG SoyMeal,Agriculture
702,NZDUSDCR Curncy,NZD-USD Carry Return,DM FX
703,EURCAD Curncy,EUR-CAD X-RATE,DM FX
704,F91001Y Index,EUR 0CPN YLDS1Y,Nominal Bond
705,EURI3M Index,EUR Fwd Imp Yld 3M,DM FX
706,NZDI3M Index,NZD Fwd Imp Yld 3M,DM FX
707,JPMTAUST INDEX,JPM GBI Australia in LOC,Nominal Bond
708,F25909Y Index,SEK 0CPN YLDS9Y,Nominal Bond
709,CADNOKCR Curncy,CAD-NOK Carry Return,DM FX
710,IINETUR Index,IMF Turkey Inflation End of Pe,IMF Inflation Expectation
711,EURCHFCR Curncy,EUR-CHF Carry Return,DM FX
712,BCOMSI Index,BBG Silver,Precious Metals
713,BCOMKW Index,BBG KansasWht,Agriculture
714,EURCADCR Curncy,EUR-CAD Carry Return,DM FX
715,M00IWO$O Index,World MinVol D NTR USD,Equity Factor
716,PLNEURCR Curncy,PLN-EUR Carry Return,EM FX
717,I05609Y Index,JPY Japan Swap Rate 0 Cpn9,Nominal Swap
718,IINETWN Index,IMF Taiwan Inflation End of Pe,IMF Inflation Expectation
719,F11020Y Index,GBP UK Gilts 0 Coupon 20,Nominal Bond
720,F25908Y Index,SEK 0CPN YLDS8Y,Nominal Bond
721,BCOMLC1 Index,BBG LiveCattleSub1MFwd,Agriculture
722,I05304Y Index,EUR Swap Annual 0 Cpn Yld4,Nominal Swap
723,SKSW10 Index,SEK SWAP ANN(VS 3M ) 10Y,Currency SWAP
724,JPYI3M Index,JPY Fwd Imp Yld 3M,DM FX
725,F25605Y Index,CHF 0CPN YLDS5Y,Nominal Bond
726,SF0006M Index,ICE LIBOR CHF 6M,Nominal Bond
727,EURSEKCR Curncy,EUR-SEK Carry Return,DM FX
728,I05305Y Index,EUR Swap Annual 0 Cpn Yld5,Nominal Swap
729,INRUSD Curncy,INR-USD X-RATE,EM FX
730,F11010Y Index,GBP UK Gilts 0 Coupon 10,Nominal Bond
731,CF1 A:00_0_R Index,CAC 40 Index Future,DM Equity
732,BCOMWH Index,BBG Wheat,Agriculture
733,F11030Y Index,GBP UK Gilts 0 Coupon 30,Nominal Bond
734,BRLUSD Curncy,BRL-USD X-RATE,EM FX
735,PLNEUR Curncy,PLN-EUR X-RATE,EM FX
736,EURNOKCR Curncy,EUR-NOK Carry Return,DM FX
737,F25008Y Index,NZD 0CPN YLDS8Y,Nominal Bond
738,MRNI3M Curncy,MYR NDF IMP YLD 3 MO,EM FX
739,BCOMRAL Index,BBGRollAlum,Industrial Metals
740,GCLDUK index,MSCI TR UK Small Cap ,Small Cap Equity
741,APNI3M Curncy,ARS NDF IMP. YIELD 3 MO,EM FX
742,I09409Y Index,NZD Swap Rate 0 Cpn Yld 9,Nominal Swap
743,I08620Y Index,NOK Swap Rate 0 Cpn Yld 20,Nominal Swap
744,I08607Y Index,NOK Swap Rate 0 Cpn Yld 7,Nominal Swap
745,AUDSEKCR Curncy,AUD-SEK Carry Return,DM FX
746,F91006Y Index,EUR 0CPN YLDS6Y,Nominal Bond
747,BCOMGC6 Index,BBGGoldSub6Mfwd,Precious Metals
748,COPUSD Curncy,COP-USD X-RATE (x100),EM FX
749,NOKI3M Index,NOK Fwd Imp Yld 3M,DM FX
750,BPSW9 Index,GBP SWAP SA (VS 6M) 9Y,Currency SWAP
751,CADJPY Curncy,CAD-JPY X-RATE,DM FX
752,I09415Y Index,NZD Swap Rate 0 Cpn Yld 15,Nominal Swap
753,NGNUSD Curncy,NGN-USD X-RATE (x1000),EM FX
754,I05210Y Index,USD Swap Rate 0 Cpn Yld 10,Nominal Swap
755,TRYI3M Curncy,TRY FWRD IMP. YIELD 3 MO,EM FX
756,BCOMWH1 Index,BBG Wheat Sub 1MFwd,Agriculture
757,I05202Y Index,USD Swap Rate 0 Cpn Yld 2,Nominal Swap
758,SP1 A:00_0_R Index,S&P 500 Future,DM Equity
759,F11008Y Index,GBP UK Gilts 0 Coupon 8,Nominal Bond
760,F25615Y Index,CHF 0CPN YLDS15Y,Nominal Bond
761,F12704Y Index,AUD Australia Sov 0 Cpn 4,Nominal Bond
