Country,Subject Descriptor,Subject Notes,Units,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Suriname,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.215,104.923,20.947,12.245,9.650,9.092,8.591,2019.0
Sweden,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.716,0.900,1.511,1.558,1.700,1.766,1.848,2019.0
Switzerland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.173,-0.784,-0.336,0.593,0.707,0.970,0.994,2019.0
Syria,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,2011.0
Taiwan Province of China,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.143,-0.100,1.000,1.200,1.403,1.437,1.437,2019.0
Tajikistan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.999,7.500,7.000,6.500,6.500,6.500,6.500,2018.0
Tanzania,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.849,3.586,3.653,4.036,4.236,4.236,4.236,2018.0
Thailand,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.875,0.823,0.713,1.300,1.400,1.700,1.800,2019.0
Timor-Leste,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.299,1.500,2.400,2.600,2.000,2.000,2.000,2019.0
Togo,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.329,1.060,4.531,0.361,3.412,0.843,3.042,2019.0
Tonga,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.122,0.076,2.512,2.483,1.718,2.439,2.439,2019.0
Trinidad and Tobago,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.370,-0.003,0.997,1.747,1.252,1.004,1.003,2019.0
Tunisia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.078,5.426,4.851,4.363,4.099,4.101,3.992,2019.0
Turkey,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.836,11.996,12.000,11.000,11.000,11.000,11.000,2019.0
Turkmenistan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.267,8.000,6.000,6.000,6.000,6.000,6.000,2018.0
Tuvalu,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.177,1.500,2.300,2.176,2.709,2.000,2.000,2018.0
Uganda,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.558,5.042,5.191,4.960,4.156,4.284,4.661,2019.0
Ukraine,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.054,5.189,5.818,5.383,5.049,5.011,5.002,2019.0
United Arab Emirates,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-1.931,-1.500,1.500,2.000,2.000,2.100,2.100,2019.0
United Kingdom,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.412,0.350,1.500,1.771,2.000,2.000,2.000,2019.0
United States,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.069,2.124,2.210,2.074,2.149,2.198,2.230,2019.0
Uruguay,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.788,9.500,7.500,6.000,4.700,4.000,4.000,2019.0
Uzbekistan,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.189,12.084,9.337,6.116,4.889,4.948,5.017,2019.0
Vanuatu,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.470,2.592,2.183,2.114,2.251,2.251,2.251,2019.0
Venezuela,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,"9,585.494","6,500.000","6,500.000","6,500.000",,,,2019.0
Vietnam,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.237,3.100,3.700,4.000,4.000,4.000,4.000,2019.0
West Bank and Gaza,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.269,-1.739,0.857,1.447,2.000,2.000,2.000,2019.0
Yemen,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.200,45.400,21.000,23.900,15.000,10.000,8.000,2019.0
Zambia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,11.700,13.000,11.200,9.000,7.000,7.000,7.000,2019.0
Zimbabwe,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,521.150,494.954,3.000,3.000,3.000,3.000,3.000,2019.0
